country,director,genre,rating,title,year
СССР,Леонид Гайдай,"комедия, сатира",7.7,Не может быть!,1975
Германия,Петер Торварт,"комедия, боевик, криминал, роуд-муви",6.5,Не мой день,2014
США,"Дебора Каплан, Гарри Элфонт",комедия,6.5,Не могу дождаться,1998
СССР,Борис Дуров,"драма, мелодрама",6.4,Не могу сказать «прощай»,1982
США,Фрэнк Райан,"музыкальный, вестерн",6.2,Не могу не петь,1944
Польша,Тадеуш Хмелевский,комедия,7.5,Не люблю понедельник,1971
США,Стэнли Крамер,драма,6.7,Не как чужой,1955
США,Сесил Блаунт Демилль,кинокомедия,6.5,Не меняйте вашего мужа,1919
США,Джонатан Демми,концертный фильм,8.7,Не ищи смысла,1984
Россия,Михаил Маралес,комедия,5.4,Не лечи меня,2021
США,Кеннет Джонсон,"детский, фильм ужасов",6.6,Не заглядывай под кровать,9 октября 1999
США,Кэррол Бэллард,"драма, приключения",7.5,Не зови волков,1983
СССР,"Никита Курихин, Леонид Менакер",Драма,7.6,Не забудь… станция Луговая,1966
СССР,Ольгерд Воронцов,"биография, исторический",,Не имеющий чина,1985
СССР,Геннадий Казанский,"музыкальная, кинокомедия",6.1,Не имей 100 рублей…,1959
США,Джозеф Эллисон,"слэшер, триллер",5.6,Не заходи в дом,1979
США,Лаки Макки,триллер,4.9,Не дыши: Начало,2022
Япония,Рюити Иномата,драма,7.3,Не забывай о Ниини,2009
СССР,Николай Лукьянов,"детская, кинокомедия",5.7,Не забудьте выключить телевизор,1986
США,Митчелл Лейзен,"Фильм нуар, Мелодрама",7.4,Не её мужчина,1950
США,Тайлер Оливер,фильм ужасов,5.1,Не забывай меня,2009
СССР,Виктор Титов,комедия,5.4,"Не ждали, не гадали!",1982
США,Феде Альварес,"триллер, криминал, ужасы",7.1,Не дыши,2016
США,Моули Сурья,"фильм-триллер, боевик",4.6,Не для слабонервных,2024
"Камбоджа, США, Франция",Джон Пироцци,"документальный фильм, 1, 2, […]",7.8,"Не думай, что я забыл",2015 11 октября 2014
Россия,Юрий Мамин,"драма, мелодрама, комедия",6.6,Не думай про белых обезьян,2008
США,Пэрис Барклай,"комедия, пародия, чёрный юмор",6.5,"Не грози Южному централу, попивая сок у себя в квартале",1996
США,Родо Сайягес,"триллер, криминал, ужасы, боевик",6.0,Не дыши 2,2021
СССР,Георгий Данелия,комедийно-драматический,7.8,«Не горюй!»,1969
США,Стивен Херек,комедия,6.3,"Не говори маме, что няня умерла",1991
,"Михаил Демуров, Вячеслав Костиков","документальный, исторический",,Не будем проклинать изгнание,"
1997 (1-2 серии), 2003 (3-5 серии)"
США,Джеймс Уоткинс,"психологический фильм ужасов, психологический триллер",6.8,Не говори никому,2024
ФРГ,Роза фон Праунхайм,"псевдодокументальная, драма",6.6,"Не гомосексуал извращён, а ситуация, в которой он живёт",1971
США,Александр Маккендрик,комедия,5.8,Не гони волну,1967
Индия,Паван С. Каул,слэшер,4.4,Не говори ни слова,2003
"США, Великобритания",Малкольм Маубрэй,"комедия, мелодрама",5.7,"Не говори ей, что это я",1990
"Австралия, США",Гэри Фледер,"триллер, драма",6.3,Не говори ни слова,2001
"Великобритания, Франция, США",Джулиус Берг,фильм ужасов,5.0,Не входи,22 октября 2020 1
"Великобритания, Франция",Гэри Олдмен,драматический фильм,7.3,Не глотать,1997
Индия,"Ревати, [вд]",драма,6.1,Не всё потеряно,2004
Франция,Гийом Кане,"драма, триллер, детектив",7.5,Не говори никому,2006
"Франция, Бельгия","Доминик Барон, 1",драма,7.0,Не все папы писают стоя,16 декабря 1998
Азербайджан,Вагиф Мустафаев,комедия,7.8,Национальная бомба,2004
"Великобритания, США",Кэри Фукунага,шпионский фильм,7.3,Не время умирать,2021
СССР,Деви Абашидзе,драма,,Не все кометы гаснут,1982
США,Грегори Дарк,слэшер,5.1,Не вижу зла,2006
США,Эмма Форрест,драма,5.1,Не вместе,2018
США,"Джен Соска, Сильвия Соска",слэшер,4.7,Не вижу зла 2,2014
"Россия, США",Валерий Чиков,"комедия, драма, 1",6.6,Не валяй дурака,1997
СССР,Караман Мгеладзе,,6.6,"Не верь, что меня больше нет",1975
США,Стивен Содерберг,психологический триллер,6.4,Не в себе,2018
Флаг Польши,Юлиуш Махульский,кинокомедия,6.5,Не в деньгах счастье,2001
США,Гас Ван Сент,"трагикомедия, биография",6.8,"Не волнуйся, он далеко не уйдёт",2018
СССР,Юсуп Даниялов,мелодрама,6.9,Не было печали,1982
СССР,Рихард Пикс,детский фильм,6.8,Не будь этой девчонки...,1981
Италия,Клаудио Калигари,"криминальная, драма",7.1,Не будь злым,2015
США,Майкл Диннер,"комедия, мелодрама",5.1,Не в своей тарелке,1986
Польша,Януш Насфетер,драма,6.6,Не буду тебя любить,1973
Франция,Жозе Пиньейру,"драма, триллер, детектив, боевик",5.5,Не будите спящего полицейского,1988
СССР,Анатолий Бобровский,комедия,7.1,Не будите спящую собаку,1991
Великобритания,"Пол Гринграсс, 1, 2, […]","экшн, драма, военный фильм",6.8,Не брать живым,2010
"Азербайджан, Россия",Юлий Гусман,"комедия, приключенческий фильм",3.8,"Не бойся, я с тобой! 1919",2013
США,Дэвид О. Расселл,"чёрная комедия, эксцентрическая комедия",6.7,Не будите спящую собаку,1996
Франция,Андре Мадре,документальный фильм,,Наша родина,1956
СССР,Динара Асанова,"мелодрама, детский фильм",7.4,Не болит голова у дятла,1974
"США, 4",Оливия Уайлд,психологический триллер,6.3,"Не беспокойся, дорогая",2022
США,Трой Никси,фильм ужасов,5.5,Не бойся темноты,2010
США,"Трисия Кук ,  Керри Шрейдер",комедия,6.0,Не балуй с Техасом,2008
США,БиСи Фертни,"ужасы, триллер",3.2,Не беспокоить,"
2010, 2013"
СССР,Юлий Гусман,"приключенческий фильм, комедия, боевик, истерн, мюзикл",7.5,"Не бойся, я с тобой!",1981
Великобритания,Найджел Коул,"комедия, драма",6.3,Не беспокоить,27 января 2016
США,Гарри Бомонт,"драматический фильм, немое кино, романтический фильм",6.7,Наши танцующие дочери,1928
США,Джон Эрман,драма,6.8,Наши сыновья,19 мая 1991
Германия,Филипп Кадельбах,"драма, военный фильм",8.4,"Наши матери, наши отцы",17–20 марта 2013
Франция,Андре Тешине,"драматический фильм, ЛГБТ-фильм",5.8,Наши сумасшедшие годы,2017
"Франция, Бельгия",Гийом Сенез,комедийная драма,6.7,Наши сражения,2018 21 марта 2019 1
СССР,Сергей Сплошнов,комедия,6.6,Наши соседи,1957
Испания,Мигель Анхель Ламата,комедия,6.7,Наши любовники,2016
Австралия,Джиллиан Армстронг,мелодрама,6.5,Наши последние дни,1992
СССР,Владимир Браун,драма,,Наши девушки (1930),1930
"Канада, 1, 2, […], Франция, 1",Дени Аркан,комедийная драма,7.5,Нашествие варваров,2003
СССР,Александр Столпер,драма,5.6,Наше сердце,1946
США,"Ричард Лестер, 1, 2",комедийный фильм,5.3,Нашедшие и сохранившие,1984
СССР,Абрам Роом,"киноповесть, драма военный, экранизация",6.5,Нашествие,1944
СССР,Геннадий Полока,"детский фильм, исторический фильм, комедия",6.9,Наше призвание,1981
СССР,,документальный фильм,,Наш Гагарин,1971
США,Рекс Ингрэм,"шпионский фильм, немое кино, романтический фильм, военный фильм",6.8,Наше море,1926
"Мексика, Франция, Германия, Дания, Швеция",Карлос Рейгадас,драма,6.8,Наше время,2018
"Франция, Бельгия",Катрин Корсини,драма,6.7,Наше лето,2015
Франция,Реми Безансон,комедийная драма,6.0,Наше будущее,"
8 июня 2015 года     22 июля 2015 года "
СССР,Али-Саттар Атакишиев,психологическая драма,7.8,Наша улица,1961
Россия,Глеб Ильич Орлов,"комедийный фильм, 2",4.7,Наша Russia: Яйца судьбы,21 января 2010 1
США,"Бастер Китон, Джон Блистон","комедия, немой",7.7,Наше гостеприимство,1923
Россия,Ирина Гобозашвили,"драма, спортивный фильм",,Начать сначала / Start over,2022
"Италия, Великобритания, США",Стюарт Купер,"драма, исторический фильм",7.2,Наша эра,1985
Индия,Викрам Кумар,"семейный, комедия",7.9,Наша семья,2014
Япония,Хирокадзу Корээда,драма,7.6,Наша младшая сестрёнка,2015
Египет,Ахмед Дыя эд-Дин,Социальная драма,6.9,Наша зелёная земля,1956
Франция,Бертран Блие,мелодрама,6.4,Наша история,1984
"Франция, Швейцария",Жан-Люк Годар,драма,6.8,Наша музыка,2004
СССР,"Кира Муратова, Александр Муратов",драма,6.3,Наш честный хлеб,1964
СССР,Баадур Цуладзе,мелодрама,5.7,"Наш черёд, ребята!",1986
Япония,Нобору Накамура,"фильм-драма, комедия",6.4,Наша весёлая семья,1951
Великобритания,Дон Шарп,"комедия, шпионский фильм",5.7,Наш человек в Марракеше,1966
СССР,Александр Ефремов,"комедия, музыкальный фильм",6.1,Наш человек в Сан-Ремо,1990
Великобритания,Кэрол Рид,"комедия, драма, триллер",7.2,Наш человек в Гаване,1959
Южная Корея,Пак Гван Чхун,романтическая кинокомедия,5.9,Наш учитель английского,"
2008 год"
США,Тони Билл,"фильм-биография, драма",7.1,Наш собственный дом,1993
США,"Йорис Ивенс, Льюис Майлстоун",документальный фильм,6.8,Наш русский фронт,1942
Франция,Ларри Кларк,драма,4.8,Наш запах,2014
Франция,Гаэль Морель,драма,6.1,Наш рай,2011
,"Шакен Айманов, Александр Карпов","комедия, музыкальный фильм",6.5,Наш милый доктор,1957
СССР,Иван Пырьев,"драма, экранизация",6.0,Наш общий друг,1961
Франция,Ромен Гаврас,драма,6.1,Наш день придёт,2010
США,Джеймс Леммо,комедия,5.4,Наш конёк — большие деньги,1992
СССР,Василий Пронин,Драма,7.4,Наш дом,1965
СССР,Резо Чхеидзе,драма,7.5,Наш двор,1956
СССР,Михаил Пташук,драма,6.7,Наш бронепоезд,1988
США,Сэм Вуд,драма,6.5,Наш городок,1940
США,Питер Сигал,"мелодрама, комедия",5.8,Начни сначала,2018
СССР,Александр Стефанович,"мелодрама, музыкальный фильм",6.4,Начни сначала,1985
США,Дэвид Гордон Грин,комедийная драма,6.1,Наш бренд – кризис,2015
США,Майк Миллс,комедия-драма,7.2,Начинающие,2010
США,Эндрю Вагнер,драма,6.9,Начиная вечером,2007
СССР,Виталий Мельников,"комедия, приключенческий фильм",7.4,Начальник Чукотки,1966
США,Дэнни Ву,документальный фильм,7.4,Начало: Майкл Джексон,2019
США,Алан Пакула,комедия,6.4,Начать сначала,1979
СССР,"Андрей Смирнов, Лариса Шепитько, Генрих Габай",киноальманах,6.9,Начало неведомого века,1967
Чехословакия,Ян Сверак,"комедия, драма",7.7,Начальная школа,1991
СССР,Владимир Александрович Латышев,драма,,Натали,1988
США,Берт А. Гордон,"фантастика, ужасы",4.0,Начало конца,1957
"США, Великобритания",Кристофер Нолан,"научная фантастика, боевик, триллер, драма",8.8,Начало,2010
США,Гарольд Рамис,комедия,4.9,Начало времён,2009
"Грузия, Франция",Деа Кулумбегашвили,драма,6.6,Начало,2020
США,Сэм Левинсон,триллер,6.0,Нация убийц,2018
СССР,Глеб Панфилов,комедийная драма,7.6,Начало,1970
США,Питер Джордж,Боевик,3.7,Нацисты-сёрфингисты должны умереть,1987
"США, Германия",Эрик Шёлдбьерг,драма,6.2,Нация прозака,2001
"Великобритания, США",Ричард Линклейтер,драма,6.3,Нация фастфуда,2006
США,Кларенс Браун,спортивная драма,7.3,Национальный бархат,1944
США,Грэм Бэйкер,фантастика,6.3,Нация пришельцев,1988
США,Рик Роман Во,"спортивный, драма",5.7,Национальные чемпионы,2021
США,Жюль Дассе́н ,шпионский фильм,6.8,Нацистский агент,1942
США,Джозеф Дж. Лоусон,"мокбастер, фильм ужасов, научная фантастика",3.1,Нацисты в центре Земли,2012
СССР,Евгений Карелов,,7.5,Нахалёнок,"
1961"
СССР,"Владимир Павлович Басов, Корчагин, Мстислав Васильевич",драматический фильм,5.8,Нахлебник,1953
"Германия, Италия",Винфрид Боненгель,драма,6.6,Наци,2002
Россия,Олег Штром,"семейный фильм, приключенческий фильм",4.0,Нахимовцы,2022
Россия,Андрей И,"фильм-триллер, кинофантастика",6.1,Научная секция пилотов,1996
США,Чарльз Чаплин,комедия,5.6,Нахальный джентльмен,1914
"Франция, Швеция",Робер Брессон,драма,7.7,"Наудачу, Бальтазар ",1966
Франция,Мишель Гондри,"романтическая, комедия",7.2,Наука сна,2006
США,Гэбриел Болонья,фантастика,2.6,Наутилус: Повелитель океана,2007
,Татьяна Воронецкая,"драма, исторический фильм, мелодрама",5.4,Натурщица,2007
"Китай, Гонконг",Цзя Чжанкэ,драма,7.3,Натюрморт,2006
"Республика Корея, Япония",Ким Ки Дук,драма,7.1,Натянутая тетива,2005
США,Адам Вингард,"боевик, фильм ужасов, фильм-триллер",,Натиск,
"Франция, Испания",Анн Фонтен,драма,6.3,Натали,2003
США,Микаэл Саломон,"драма, детектив, фильм-биография",5.5,Натали Холлоуэй,"
19 апреля 2009"
Канада,Дэвид Безмозгис,драматический фильм,6.2,Наташа,2015
"Венгрия, Россия",Тамаш Тот,,4.6,Наташа,1997
"США, Канада",Джозеф Кан,Комедия-драма,7.1,Насыщенный,2017
СССР,Эрик Лацис,Драма,6.2,Насыпь,1970
Великобритания,Андре Сингер,"документальный, исторический",8.0,Наступит ночь,2014
Индия,Никхил Адвани,"Мелодрама, драма",7.9,Наступит завтра или нет,2003
СССР,Алексей Балабанов,документально-игровой фильм,6.0,Настя и Егор,1989
СССР,Михаил Геловани,комедия,7.8,Настоящий кавказец,1931
Россия,Георгий Данелия,"мелодрама, трагикомедия, сказка",6.9,Настя,1993
"Россия, Украина",Кира Муратова,мелодрама,7.6,Настройщик,2004
"СССР, Азербайджанская ССР",Тофик Тагизаде,драма,7.9,Настоящий друг,1959
США,Марта Кулидж,"приключенческий фильм, комедия",6.9,Настоящий гений,1985
США,Джон Эмиел,романтическая комедия,6.1,Настройся на завтра,1990
Гонконг,Дун Цзиньху,"боевик, комедия",6.2,Настоящий боец кунг-фу,1977
Индия,Пури Джаганатх,"боевик, мелодрама",6.2,Настоящий герой,2007
СССР,Нана Мчедлидзе,комедия,7.7,Настоящий тбилисец и другие,1976
США,Деннис Фельдман,комедия,6.0,Настоящие мужчины,1987
США,Генри Хэтэуэй,Вестерн,7.4,Настоящее мужество,1969
"Польша, США",Александрос Авранас,"триллер, драма, криминал",4.6,Настоящее преступление,2016
США,Карен Артур,"драма, вестерн",6.6,Настоящие женщины,1997
США,Тони Скотт,"триллер, криминал, мелодрама",7.9,Настоящая любовь,1993
США,Клинт Иствуд,"триллер, детектив, драма",6.6,Настоящее преступление,1999
Китай,Юнь Вопхин,"боевик, драма",6.4,Настоящая легенда,2010
"США, Польша",Джесси Айзенберг,"комедийный фильм, 5, драматический фильм, 5",7.2,Настоящая боль,20 января 2024 1 19 сентября 2024 2 1 ноября 2024 1 8 ноября 2024 1 16 января 2025 3 2 27 февраля 2025 4
США,Расселл Малкэхи,"драма, боевик, криминальный фильм, триллер",5.5,Настоящая Маккой,1993
США,Том Дичилло,"комедия, драма, мелодрама",6.0,Настоящая блондинка,1997
"США, Великобритания, Германия, Япония",Эндрю Бергман,"Драма, комедия, биография",5.3,Настоящая женщина,2000
СССР,Николай Губенко,драма,6.9,Настасья и Фомка,1968
Великобритания,Бенджамин Росс,чёрная комедия,7.0,Настольная книга молодого отравителя,1995
США,"Чарльз Чаплин, Мэйбл Норманд",комедия,5.7,Настигнутый в кабаре,1914
Россия,Армен Назикян,"боевик, драма",5.1,Настоятель,2010
"Польша, Япония",Анджей Вайда,"драматический фильм, кабуки, экранизация романа",6.7,Настасья,1994
Дания,Йеспер В. Нильсен,драма,7.9,Настанет день,2016
СССР,"Амо Бек-Назаров, Эразм Карамян","комедия, сказка",6.3,"Насреддин в Ходженте, или Очарованный принц",1959
США,Пол Сотер,"комедия, мелодрама",6.2,Насмотревшись детективов,2007
США,Роберт Земекис,научная фантастика,7.8,Назад в будущее 2,1989
США,Нил Бёргер,шпионский фильм,,Наследство,2025
Пакистан,Аджай Кардар,драматический фильм,7.1,Настанет день,1959
СССР,Яков Протазанов,комедия,7.1,Насреддин в Бухаре,1943
Франция,Патрис Леконт,Трагикомедия,7.3,Насмешка,1996
"Франция, Грузия","Теймураз Гелаевич Баблуани, Гела Теймуразович Баблуани","драматический фильм, 1",6.9,Наследство,2006
Венгрия,Виктор Гертлер,"исторический, мелодрама",6.8,Наследство казначея Стамбула,1962
СССР,Георгий Натансон,семейная сага,5.2,Наследство,1984
Бразилия,Даниэль Филью,Комедия,6.5,Наследство,2001
США,Уильям Уайлер,драма,8.1,Наследница,1949
СССР,Эдуард Иогансон,немое кино,6.4,Наследный принц Республики,1934
США,Джонатан Дэрби,триллер,5.5,Наследство,1998
США,Джон Франкенхаймер,"боевик, триллер, криминальный фильм, драма",6.1,Насмерть (Смертельный выстрел),1988
США,Дженнифер Фанг,"мюзикл, фэнтези, подростковый фильм",4.7,Наследники: Возвышение Рэд,12 июля 2024
США,Кенни Ортега,"мюзикл, фэнтези, подростковый фильм",6.4,Наследники 3,2 августа 2019
СССР,Сергей Соловьёв,драма,7.1,Наследница по прямой,1982
"Парагвай, Франция, Германия, Норвегия, Бразилия, Уругвай",Марсело Мартинесси,драма,6.6,Наследницы,2018
СССР,Гунар Цилинский,"мистическая, мелодрама",6.8,Наследница «Оборотней»,1990
США,Кенни Ортега,"мюзикл, фэнтези, приключения, комедия, подростковый фильм",6.3,Наследники,31 июля 2015
СССР,Варис Круминьш,Драма,,Наследники военной дороги,1971
США,Кенни Ортега,"мюзикл, фэнтези, подростковый фильм",6.3,Наследники 2,1
Индия,Субхаш Гхай,мелодрама,4.1,Наследники,2008
"Россия, Беларусь",Александр Мелеховец,"социальный, драма",,Народные мстители,2019
Россия,Константин Одегов,драма,4.6,Наследники,2008
Канада,Майкл Кеннеди,триллер,5.1,Наследие зла,1995
"Франция, Италия",Филипп Лабро,"драма, боевик",6.2,Наследник,1973
Россия,Роман Михайлов,"драма, 1",6.0,Наследие,2023
"Великобритания, США",Ричард Маркуанд,триллер,5.7,Наследие,1978
Россия,Владимир Любомудров,драма,4.3,Наследник,2002
СССР,Тимофей Левчук,,5.9,Наследники,1960
Испания,Хосе Луис Алеман,"мистика, триллер",5.4,Наследие Вальдемара,2010
Япония,Нагиса Осима,драма,7.0,Насилие в полдень,1966
Франция,Жан Роллен,фильм ужасов,5.2,Насилие вампира,1968
США,Залман Кинг,"драма, триллер",4.2,Наслаждение или боль,2013
СССР,Гасан Сеидбейли,"исторический фильм, драма",8.5,Насими,1973
США,Уолтер Грауман,"драма, криминальный фильм, триллер",6.7,Насилие!,1986
СССР,Шарип Бейсембаев,детский фильм,,Нас четверо,1971
"Канада, США",Мишель МакЛарен,"драма, фильм ужасов",5.7,Население 436,2006
США,Ричард Флейшер,юридический триллер,7.4,Насилие,1959
США,Стив Пинк,комедия,6.4,Нас приняли!,2006
США,Британи Виндаст,"Фильм нуар, Криминальная драма",7.2,Насаждающий закон,1951
США,Питер Левин,Драма,6.1,Насилие и брак,1980
Индия,Сурадж Барджатия,мелодрама,6.3,Нас не разлучить,1999
Россия,Илья Шиловский,"триллер, криминальная драма",5.2,Нас не догонишь,2007
"Литва, Германия, Франция, Португалия",Шарунас Бартас,драма,7.2,Нас мало,1996
Франция,"Николя Шарле, Брюно Лавен",комедийный фильм,5.7,Нас двое,2008
Россия,"Шепотинник, Пётр Георгиевич",документальный фильм,6.5,Нас других не будет,2021
СССР,Евгений Шерстобитов,"детское кино, приключения",7.0,Нас водила молодость...,"
7 ноября 1986"
СССР,Борис Токарев,"драма, исторический фильм",6.7,Нас венчали не в церкви,1982
"Канада, Великобритания",Дэвид Бэйли,"драма, мелодрама, триллер",4.8,Нарушительница,1999
Япония,Кэйсукэ Киносита,драма,6.2,Нарушенный завет,1948
Таиланд,Пиак Постер,драма,8.8,Нарушенная верность,1972
США,Джон Стёрджес,"Фильм нуар, Судебная драма",6.8,Народ против О’Хары,1951
Италия,Тинто Брасс,"драма, эротика",5.4,Нарушая запреты,2000
Гонконг,Чон Чхан Хва,"боевик, драма",6.9,Нарушенная клятва,1977
Италия,Марио Моничелли,"комедия, драма",7.0,Народный роман,1974
США,Джад Тейлор,"драма, мелодрама, триллер",5.6,Нарушенные обеты,1987
Великобритания,Эндрю Синклер,комедия,4.9,Нарушение Бамбо,1970
"США, Канада",Милош Форман,"драма, байопик",7.3,Народ против Ларри Флинта,1996
США,Джоби Харольд,"Триллер, Драма",6.5,Наркоз,2007
США,Клинт Иствуд,"триллер, драма, детектив",7.0,Наркокурьер,2018
США,Рик Фамуйива,"история взросления, районный фильм, криминальный фильм, комедийная драма, драматический фильм",7.2,Наркотик,2015
"США, Колумбия",Пол Красни,драма,6.6,Нарковойны: Кокаиновый картель,1991
"Турция, Греция",Чаган Ырмак,"драма, комедия",8.0,Народ моего деда,2011
Россия,Влад Фурман,"военная, драма",7.7,Наркомовский обоз,2011
США,Ховард Дойч,"комедия, криминал, Семейный фильм",4.9,Наравне с отцом,1994
США,Джон Д. Хэнкок,фильм ужасов,6.4,Напугать Джессику до смерти,1971
"США, Испания",Брайан Гибсон,"драма, криминал",6.5,Нарковойны,7 января 1990
США,Кристи Кэбэнн,триллер,4.1,«Напуганная до смерти»,1947
США,Джош Рубен,"чёрная комедия, ужасы",5.7,Напугай меня,2020
США,Питер Сигал,"комедийный, боевик",6.5,Напряги извилины,2008
"США, Франция","Джеймс Мэтер, Стивен Сент-Леджер","триллер, боевик, фантастика, драма",6.0,Напролом,2012
США,Алекс Меркин,драма,5.8,Напротив по коридору,2009
США,Джон Берри,Фильм нуар,7.3,Напряжённость,1949
Япония,Сусуму Хани,"фильм-драма, авторское кино",,Наполненная жизнь,1962
"Франция, Италия",Саша Гитри,фильм-биография,6.1,Наполеон: Путь к вершине,1955
США,Джон Бэдэм,"боевик, комедия",6.4,Напролом,1991
СССР,Семён Тимошенко,кинофантастика,4.9,Наполеон-газ,1925
США,Джек Николсон,"вестерн, комедия",6.2,Направляясь на юг,1978
"США, Великобритания",Ридли Скотт,"эпическая, историческая драма",6.3,Наполеон,2023
США,Ричард Т. Хеффрон,"мелодрама, исторический фильм, биографический фильм, военный фильм",7.1,Наполеон и Жозефина: история любви,10 ноября 1987
США,Джаред Хесс,комедия,7.0,Наполеон Динамит,2004
"Австралия, Япония",Марио Андреаккьо,приключения,6.0,Наполеон,1995
Франция,Абель Ганс,"фильм-биография, киноавангард",8.2,Наполеон,1927
США,Том Дичилло,"комедия, криминальная драма",5.7,Наперекосяк,2001
"Франция, Канада",Ив Симоно,исторический,7.3,Наполеон,7 октября 2002
США,Брюс Сет Грин,научная-фантастическа,6.2,Наперегонки со временем,1990
"СССР, Югославия",Юрий Ильенко,история,7.2,Наперекор всему,1972
СССР,Эрикс Лацис,"киноповесть, экранизация",,Наперекор судьбе,1975
Россия,Александр Андрющенко,"комедия, приключения, детектив",4.6,Напарник,2017
США,Джо Корнет,вестерн,4.1,Нападение на Рио Браво,2023
США,Ричард Бенджамин,мелодрама,6.6,Наперегонки с луной,1984
США,Джон Де Белло,"комедия, ужасы, фантастика",4.6,Нападение помидоров-убийц,4 октября 1978 1 25 декабря 1978 1 26 декабря 1981 1 2 июня 1983 1
СССР,Ольгерт Дункерс,драматический фильм,,Нападение на тайную полицию,1974
США,Берт Гордон,"научно-фантастический, фильм ужасов",5.2,Нападение людей-кукол,1958
США,Фред Олен Рэй,комедия,4.0,Нападение 60-футовых секс-бомб,1995
"США, Канада",Уве Болл,"боевик, 1, 2, […], драматический фильм, криминальный фильм",6.0,Нападение на Уолл-стрит,2013
США,Кристофер Гест,фантастика,4.0,Нападение 50-футовой женщины,1993
США,Джон Карпентер,боевик,7.3,Нападение на 13-й участок,1976
Нидерланды,Фонс Радемакерс,"драма, исторический фильм",7.2,Нападение,1986
США,Роберт Флаэрти,документальный,7.6,Нанук с севера,1922
США,Натан Юран,фантастика,5.1,Нападение гигантской женщины,1958
Россия,Валерий Рубинчик,"драма, притча",6.3,Нанкинский пейзаж,2006
США,Бернард Л. Ковальски,научная фантастика,3.7,Нападение гигантских пиявок,1959
Нидерланды,Пол Рота,триллер,7.0,Нападение,1962
Франция,Валери Массадян,"художественный, драма",6.5,Нана,2011
Великобритания,Адам Сигал,,5.4,Нандор Фодор и говорящий мангуст,2023
Латвия,Дайнис Клява,документальный,,Наивисты,1992
Франция,Жан Ренуар,"драма, мелодрама, авангард",6.6,Нана,1926
США,Чарлз Кэнгэнис,"боевик, триллер",4.5,Намерение убить,1992
США,"Билл Гуттентаг, 2, Dan Sturman","документальный фильм, 1",7.7,Нанкин,2007
СССР,Владимир Акимов,"драма, киноповесть",7.0,Нам некогда ждать,1971
США,Пир Педерсен,"драма, мелодрама, детектив",4.9,Нам здесь не место,2017
,"Роберто Бениньи, Массимо Троизи",комедия,7.6,Остаётся лишь плакать,1984
Франция,Леа Фенер,драма,6.6,Нам бы только день простоять...,2009
СССР,Амо Бек-Назаров,драма,6.8,Намус,1925
"США, Канада",Стивен С. Миллер,"боевик, триллер",5.5,Налётчики,2016
СССР,Ольга Наруцкая,драма,5.9,Нам не дано предугадать…,1985
"Канада, США",Джон Дэвид Коулз,драма,5.8,Наконец-то друзья,1995
"Китай, Гонконг",Стивен Синь,исторический,6.6,Верховный ван Западного Чу,1994
Франция,Эдуар Молинаро,комедия,6.6,Налево от лифта,1988
США,Годфри Реджио,"документальный, музыкальный фильм",6.4,Накойкаци,2002
США,Уоллас Уорсли,"криминальный фильм, драма, фильм ужасов, триллер",7.3,Наказание,1920
СССР,Олег Гойда,мелодрама,5.9,Накануне премьеры,1978
США,Питер Богданович,"мюзикл, комедия, романтика",5.3,Наконец-то любовь,1975
СССР,Николай Лебедев,мелодрама,,Наездник из Кабарды,1939
"Болгария, ГДР, СССР",Христо Христов,"политический фильм, драма",4.4,Наковальня или молот,1972
"Франция, Бельгия","Себастьен Тьери, Венсан Лобель",комедия,5.1,Найти сына,2017
"СССР, Болгария",Владимир Петров,драма,6.5,Накануне,1959
США,Дэвид Салль,"детектив, комедия",5.3,Найти и ликвидировать,1995
СССР,Ростислав Бабич,"киноновелла, экранизация",,Надпись на срубе,1968
"США, 4, Великобритания","Гас Ван Сент, 2, 3, […]","драматический фильм, 1, 2, […], история взросления",7.3,Найти Форрестера,2000
СССР,Георгий Кузнецов,"криминальная драма, детективный фильм, боевик",5.7,Найти и обезвредить,1982
"Канада, Великобритания",Джон Трент,комедия,4.1,Найти девушку,1976
"США, Канада",Уильям Фруэт,боевик,5.6,Найти и уничтожить,1979
СССР,Николай Лебедев,детский фильм,6.4,"«Найди меня, Лёня!»",1971
"Италия, США",Серджо Корбуччи,"боевик, комедия, приключения",7.1,Найдешь друга — найдешь сокровище,1981
СССР,"Ирина Молостова, Василий Лапокныш",музыкальный фильм,,Наймичка,1963
"США, Канада, Великобритания",Зак Уидон,триллер,5.7,"Найди меня, если сможешь",2016
СССР,Валерий Блинов,"драма, экранизация",,Наизнанку,1989
Великобритания,"Ричард Лестер, Aubrey Powell",музыкальный,7.1,Назад,1991
США,Линн Шелтон,драма,6.7,Наизнанку,2017
США,Джон Фрэнсис Диллон,драма,7.0,Называй её дикой,1932 2004
Мексика,Луис Бунюэль,драма,7.7,Назарин,1958
США,Роберт Земекис,"научная фантастика, комедия, роуд-муви",8.5,Назад в будущее,1985
СССР,Григорий Крикун,драма,,Над Черемошем,1954
Гонконг,Джон Ву,"боевик, гангстерский фильм, триллер",7.7,Наёмный убийца,1989
"Украина, США",Сергей Буковский,драма,6.7,Назови своё имя по буквам,2006
Великобритания,"Алан Бриджес, 2, 3","романтический фильм, 1, драматический фильм",6.6,Наёмный работник,1973
США,Джон Ву,боевик,5.7,Наёмный убийца,23 августа 2024
