country,director,genre,rating,title,year
Республика Корея,На Хончжин,"триллер, ужасы",7.4,Вопль,2016
СССР,Эдмонд Кеосаян,драма,6.7,Вознесение,1988
США,Джек Хейли младший,"документальный, музыкальный",7.8,Вот это развлечение!,1974
"Франция, 1, Португалия, 1, Бельгия, 1","Селин Дево, 1, 3","драматический фильм, 1, комедийный фильм, 1",6.4,Все любят Жанну,21 мая 2022 7 сентября 2022 1 2
США,Кен Куопис,"драма, семейный",6.5,Все любят китов,2012
США,Брайан Брайтил,"триллер, драма",4.2,Все люди лгут,2013
Франция,Ален Корно,"драма, триллер, детектив",5.7,Второе дыхание,2007
США,Кевин Костнер,вестерн,,Горизонты: Американская сага,28 июня 2024
США,Джереми Томас,"триллер, драма, приключения",6.7,Все маленькие животные,1998
США,Брайан Скиба,боевик,3.9,«Второй»,2020
Россия,Ринат Ташимов,драма,6.6,Второе солнце,2021
"США, Япония",Бибан Кидрон,мелодрама,6.1,Второе дыхание,1992
Франция,Кантен Дюпье,,6.5,Второй акт,2024
США,Уолтер Хилл,боевик,6.6,Все меры предосторожности,1987
"Великобритания, 2, 4, Германия, 2, Испания, 2",Нора Фингшайдт,драма,6.9,Выгон,2024 27 сентября 2024 1 4 октября 2024 1 5 декабря 2024 1
СССР,Аида Манасарова,драма,6.2,Вы мне писали...,1976
США,Барри Левинсон,"драма, биография",7.5,Вы не знаете Джека,
Россия,Леван Габриадзе,"комедия, мелодрама",5.9,«Выкрутасы»,2011
СССР,Владимир Левин,детский,6.7,"Где ты, Багира?",1977
США,Кёртис Бернхардт,Фильм нуар,6.9,Высокая стена,1947
"США, Канада, Франция",Джордж Ромеро,"триллер, драма",5.3,Вышибала,2000
Польша,Рышард Бер,детектив,6.3,Где третий король?,1967
СССР,Валериу Гажиу,музыкальный фильм,6.0,"Где ты, любовь?",1980
Германия,Анно Зауль,"кинокомедия, мелодрама, спорт",6.3,Где Фред?,2006 16 ноября 2006 1 2
СССР,Эдмонд Кеосаян,драма,6.9,"Где ты теперь, Максим?",1964
СССР,Тимур Золоев,"драма, военный фильм, шпионский фильм",6.0,"Где ты был, Одиссей?",1978
Канада,Кристиан Дюгей,"фильм-биография, драма",7.2,Гитлер: Восхождение дьявола,2003
Украина,Александр  Запорощенко,документальный фильм,8.1,"Где ты, Адам?",2019
СССР,Павел Любимов,,5.2,Гол в Спасские ворота,1990
Великобритания,Жауме Кольет-Серра,"драма, спортивный фильм",5.8,Гол 2: Жизнь как мечта,2007
Франция,"Тьерри Пуаро, Бенжамен Роше","ужасы, комедия, спортивный фильм",5.5,Гол живых мертвецов,2014
"СССР, 3, ГДР, 3, Болгария, Югославия","Конрад Вольф, 1, 2",Историко-биографический,7.1,"Гойя, или Тяжкий путь познания",1971
Япония,Сиро Моритани,фильм-катастрофа,5.5,Гибель Японии,1973
Российская империя,Александр Гарин,комедия,,Двойник Макса Линдера,1914
США,Стэнли Крамер,"драма, военный, приключенческий",5.7,Гордость и страсть,1957
"Великобритания, США, Франция",Джо Райт,драма,7.8,Гордость и предубеждение,2005
США,Роберт З. Леонард,"драма, мелодрама",7.4,Гордость и предубеждение,1940
СССР,Иосиф Хейфиц,молодёжная киноповесть,5.8,Горизонт,1961
"США, Германия",Гэвин О’Коннор,"детектив, драма, триллер",6.6,Гордость и слава,2008
СССР,Вячеслав Максаков,детективный фильм,6.0,Город принял,1979
"США, Великобритания",Бёрр Стирс,"комедийный фильм ужасов, боевик",5.8,Гордость и предубеждение и зомби,2016
СССР,"Адольф Минкин, Герберт Раппапорт","триллер, экранизация",5.6,Гость,1939
"Великобритания, США",Жак Турнёр,"научно-фантастический фильм, приключенческий фильм, 1, фэнтезийный фильм, 1",5.3,Город в море,1965
США,Адам Вингард,"боевик, нео-нуарный, триллер",6.7,Гость,2014
Индия,Приядаршан,"драма, мелодрама",5.5,Грустная история любви,2005
США,Пол Джастмэн,документальный фильм,8.3,Группа «Дип пёрпл»: Пионеры «тяжёлого металла»,1991
США,Рэндалл Миллер,комедия,5.9,Гость,1995
США,Чарльз Уолтерс,"драма, комедия, мюзикл",5.6,Грустная песня,1953
Россия,Михаил Кукушкин,комедия,5.0,Дар,2018
СССР,Семён Долидзе,драма,7.0,Дарико,1936
"США, Италия",Роберт Марковиц,драма,6.9,Дар Николаса,1998
США,Брайан Юзна,фильм ужасов,5.4,Дантист,1996
"Франция, Польша",Анджей Вайда,драма,7.4,Дантон,1982
США,Сэм Рейми,триллер,6.7,Дар,2000
"США, Канада",Шана Фест,"роуд-муви, комедийная драма, драматический фильм",5.8,Границы,22 июня 2018
Камбоджа,Ли Бан Им,фэнтезийный фильм,6.1,Путхисен и Леди Конгрей,1968
Сербия,Предраг Антониевич,"военная, драма",8.1,Дара из Ясеноваца,2020
СССР,Леонид Луков,драма,6.5,Две жизни,1961
США,Брайан Юзна,"Фильм ужасов, триллер",4.8,Дантист,1998
США,Тед Браун,документальный фильм,6.7,Дарфур сегодня,2007
"Германия, Норвегия",Георг Маас,"драма, триллер",7.1,Две жизни,2012
