country,director,genre,title,year
Республика Корея,Ли Джэ Ён,драматический фильм,Актрисы,2009
США,Энтони Ферранте,"ужасы, комедия, фантастика, трэш",Акулий торнадо 2: Второй по счёту,2014
СР Румыния,Мирча Верою,вестерн,Актриса и трансильванцы,1979
СССР,Леонид Пчёлкин,драматический фильм,Активная зона,1979
Франция,Бертран Блие,комедия,Актёры,2000
США,Ролан Жоффе,"драма, мелодрама",Алая буква,1995
"Великобритания, Германия, Ирландия",Конор МакФерсон,"комедия, криминал",Актёры,2003
СССР,Вирве Аруоя,драма,Актер Йоллер,1960
США,Стив Рэш,комедия,Американский пирог представляет: Музыкальный лагерь,2005
США,Джеймс Роджерс,Комедия,Американский пирог 2,2001
США,Пол Вайц,комедия,Американский пирог,1999
США,Брэндон Трост,кинокомедия,Американский огурчик,2020
США,Седрик Сандстром,боевик,Американский ниндзя 3: Кровавая охота,1989
США,Седрик Сандстром,боевик,Американский ниндзя 4: Разрушение,1991
США,Бобби Джин Леонард,экшн,Американский ниндзя 5,1993
"США, Великобритания",Джон Лэндис,комедийный фильм ужасов,Американский оборотень в Лондоне,1981
"США, Великобритания, Франция, Нидерланды, Люксембург",Энтони Уоллер,комедийный фильм ужасов,Американский оборотень в Париже,1997
США,"Эндрю Эрвин, Джон Эрвин",биографический,Американский неудачник,2021
"США, Филиппины",Сэм Фёрстенберг,боевик,Американский ниндзя,1985
США,Сэм Фёрстенберг,боевик,Американский ниндзя 2,1985
США,Пол Шредер,мелодрама,Американский жиголо,1980
США,Боаз Дэвидсон,"боевик, постапокалиптика",Американский киборг: Стальной воин,1993
Россия,Иван Щёголев,Комедия,Американский дедушка,1993
США,Элайджа Дреннер,документальный,Американский грайндхаус,2010
США,Эш Эвилдсен,триллер,Американский дьявол,2017
"ФРГ, Франция",Вим Вендерс,драма,Американский друг,1977
США,Тандер Левин,"мокбастер, 3, 4, научно-фантастический фильм, боевик, 5, вторжение пришельцев, фильм-триллер, военный фильм",Американский боевой корабль,5 июля 2012 1 2 2012
Гонконг,"Саммо Хун, Лау Кавин","боевик, приключенческий фильм, исторический фильм",Американские приключения,1997
США,Джон Бэдэм,"спортивный, драматический фильм",Американские молнии,1985
США,Джош Столберг,"Комедия, Драма",Американские детки,2005
США,Джордж Лукас,"комедийная драма, история взросления",Американские граффити,1973
"Великобритания, США",Барт Лэйтон,драма,Американские животные,2018
США,Майкл Коверт,"комедия, роуд-муви, боевик",Американские бродяги,1996
США,Джеб Стюарт,"криминальная драма, триллер, боевик",Американские горки,1997
СССР,Гитис Лукшас,"мелодрама, экранизация",Английский вальс,1982
Франция,Люк Бессон,"боевик, триллер, шпионский фильм",Анна,2019
США,Лоуренс Шиллер,судебная драма,Американская трагедия,ноябрь 2000
СССР,Марийонас Гидрис,драма,Американская трагедия,"
1981"
"Франция, Бельгия",Жан-Пьер Амери,романтическая комедия,Анонимные романтики,2010
"Германия, Великобритания, США",Роланд Эммерих,фильм-биография,Аноним,2011
ФРГ,нем.,"мелодрама, семейный фильм",Анна,1988
СССР,Борис Барнет,драма,Аннушка,1959
Великобритания,Эндрю Никкол,"антиутопический фильм, научно-фантастический фильм, 1, кинофантастика, фильм-триллер, 1, киберпанк",Анон,2018
СССР,Борис Ивченко,"драма, военный",Аннычка,1968
"Великобритания, США",Алекс Гарленд,"научная фантастика, фильм ужасов",Аннигиляция,2018
Канада,Леа Пул,Мелодрама,Анна Тристер,1986
"Россия, Франция",Никита Михалков,"документальный фильм, фильм-биография, исторический фильм",Анна: от 6 до 18,1993
Венгрия,Золтан Фабри,"драма, экранизация",Анна Эйдеш,1958
США,Венди Джо Карлтон,Мелодрама,Анна свободна,2009
"СССР, Великобритания, ГДР, Куба, Франция",Эмиль Лотяну,"драма, биография, исторический, музыкальный",Анна Павлова,"
1983—1986"
"Франция, Германия, Бельгия",Леос Каракс,мюзикл,Аннетт,2021
Нидерланды,Мария Новикова,Документальный фильм,Анна Политковская: семь лет на линии фронта,2008
,Мона Фастволд,музыкальный фильм,Анна Ли,
США,Ирвинг Рэппер,"Фильм нуар, Мелодрама",Анна Лукаста,1949
